fight,fighter,opponent,fighter_url,result,kd,sig. str.,sig. str. att,sig. str. %,total str.,total str. att,td,td att,td %,sub. att,rev.,ctrl,head,head att,body,body att,leg,leg att,distance,distance att,clinch,clinch att,ground,ground att
UFC Fight Night: Magny vs Gastelum: Alejandro Perez v Scott Jorgensen,Scott Jorgensen,Alejandro Perez,http://ufcstats.com/fighter-details/0b64d0fed453ef7f,loss,0.0,11.0,37.0,0.29,11.0,37.0,2.0,6.0,0.33,0.0,0.0,0.8,7.0,30.0,1.0,3.0,3.0,4.0,10.0,34.0,0.0,2.0,1.0,1.0
UFC Fight Night: Magny vs Gastelum: Neil Magny v Kelvin Gastelum,Neil Magny,Kelvin Gastelum,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,win,0.0,54.0,145.0,0.37,81.0,174.0,6.0,14.0,0.42,0.0,0.0,5.566666666666666,41.0,121.0,10.0,15.0,3.0,9.0,39.0,122.0,11.0,18.0,4.0,5.0
UFC Fight Night: Magny vs Gastelum: Neil Magny v Kelvin Gastelum,Kelvin Gastelum,Neil Magny,http://ufcstats.com/fighter-details/8c0580d4fff106c1,loss,2.0,54.0,134.0,0.4,86.0,167.0,2.0,3.0,0.66,0.0,1.0,7.25,34.0,111.0,6.0,7.0,14.0,16.0,43.0,109.0,4.0,11.0,7.0,14.0
UFC Fight Night: Magny vs Gastelum: Efrain Escudero v Leandro Silva,Efrain Escudero,Leandro Silva,http://ufcstats.com/fighter-details/83fd97284f4bb4a4,loss,0.0,24.0,63.0,0.38,56.0,101.0,2.0,7.0,0.28,0.0,0.0,5.066666666666666,12.0,41.0,7.0,12.0,5.0,10.0,12.0,40.0,2.0,7.0,10.0,16.0
UFC Fight Night: Magny vs Gastelum: Efrain Escudero v Leandro Silva,Leandro Silva,Efrain Escudero,http://ufcstats.com/fighter-details/159da492e000afbf,win,0.0,35.0,89.0,0.39,47.0,103.0,0.0,0.0,,0.0,0.0,3.3833333333333333,16.0,56.0,15.0,27.0,4.0,6.0,29.0,79.0,6.0,10.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Gabriel Benitez v Andre Fili,Gabriel Benitez,Andre Fili,http://ufcstats.com/fighter-details/436f970c9ea9169c,loss,0.0,11.0,26.0,0.42,11.0,26.0,0.0,0.0,,0.0,0.0,0.0,3.0,16.0,2.0,2.0,6.0,8.0,11.0,25.0,0.0,1.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Gabriel Benitez v Andre Fili,Andre Fili,Gabriel Benitez,http://ufcstats.com/fighter-details/8fd808923cffff82,win,1.0,16.0,42.0,0.38,16.0,42.0,1.0,1.0,1.0,0.0,0.0,0.1166666666666666,10.0,34.0,4.0,4.0,2.0,4.0,15.0,41.0,1.0,1.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Valmir Lazaro v Michel Prazeres,Valmir Lazaro,Michel Prazeres,http://ufcstats.com/fighter-details/777dea713da2441d,loss,0.0,41.0,102.0,0.4,60.0,123.0,0.0,0.0,,0.0,0.0,3.4833333333333334,29.0,87.0,2.0,5.0,10.0,10.0,41.0,101.0,0.0,0.0,0.0,1.0
UFC Fight Night: Magny vs Gastelum: Valmir Lazaro v Michel Prazeres,Michel Prazeres,Valmir Lazaro,http://ufcstats.com/fighter-details/e51fcd9cd84c0b93,win,0.0,20.0,53.0,0.37,27.0,60.0,1.0,14.0,0.07,0.0,0.0,2.0166666666666666,12.0,41.0,2.0,5.0,6.0,7.0,20.0,53.0,0.0,0.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Hector Urbina v Bartosz Fabinski,Hector Urbina,Bartosz Fabinski,http://ufcstats.com/fighter-details/4b8fb0453a596b8e,loss,0.0,10.0,25.0,0.4,16.0,31.0,0.0,0.0,,3.0,0.0,0.3166666666666666,9.0,24.0,1.0,1.0,0.0,0.0,2.0,14.0,7.0,9.0,1.0,2.0
UFC Fight Night: Magny vs Gastelum: Hector Urbina v Bartosz Fabinski,Bartosz Fabinski,Hector Urbina,http://ufcstats.com/fighter-details/e17ac6410c8377f4,win,0.0,25.0,39.0,0.64,89.0,118.0,6.0,11.0,0.54,0.0,0.0,13.55,23.0,37.0,2.0,2.0,0.0,0.0,10.0,16.0,2.0,4.0,13.0,19.0
UFC Fight Night: Magny vs Gastelum: Jussier Formiga v Henry Cejudo,Jussier Formiga,Henry Cejudo,http://ufcstats.com/fighter-details/b102c26727306ab6,loss,0.0,25.0,87.0,0.28,39.0,102.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,66.0,11.0,17.0,2.0,4.0,13.0,71.0,12.0,16.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Jussier Formiga v Henry Cejudo,Henry Cejudo,Jussier Formiga,http://ufcstats.com/fighter-details/056c493bbd76a918,win,0.0,43.0,110.0,0.39,71.0,140.0,2.0,3.0,0.66,0.0,0.0,1.2666666666666666,11.0,63.0,30.0,39.0,2.0,8.0,14.0,69.0,29.0,41.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Erik Perez v Taylor Lapilus,Erik Perez,Taylor Lapilus,http://ufcstats.com/fighter-details/af62f99eb7606308,win,0.0,31.0,92.0,0.33,109.0,172.0,1.0,2.0,0.5,0.0,0.0,0.0,17.0,69.0,14.0,21.0,0.0,2.0,17.0,73.0,2.0,4.0,12.0,15.0
UFC Fight Night: Magny vs Gastelum: Erik Perez v Taylor Lapilus,Taylor Lapilus,Erik Perez,http://ufcstats.com/fighter-details/8b1ed83b02303075,loss,1.0,20.0,78.0,0.25,23.0,82.0,0.0,1.0,0.0,1.0,0.0,7.183333333333334,12.0,65.0,4.0,5.0,4.0,8.0,18.0,76.0,2.0,2.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Horacio Gutierrez v Enrique Barzola,Horacio Gutierrez,Enrique Barzola,http://ufcstats.com/fighter-details/cd85b48dc880fabd,loss,0.0,10.0,38.0,0.26,16.0,45.0,0.0,0.0,,0.0,0.0,0.0,6.0,30.0,0.0,0.0,4.0,8.0,6.0,32.0,4.0,6.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Horacio Gutierrez v Enrique Barzola,Enrique Barzola,Horacio Gutierrez,http://ufcstats.com/fighter-details/be0b310a12eb80b4,win,0.0,38.0,71.0,0.53,173.0,221.0,5.0,9.0,0.55,0.0,0.0,11.0,31.0,63.0,6.0,7.0,1.0,1.0,6.0,12.0,2.0,2.0,30.0,57.0
UFC Fight Night: Magny vs Gastelum: Ricardo Lamas v Diego Sanchez,Ricardo Lamas,Diego Sanchez,http://ufcstats.com/fighter-details/3974fa35c917af1d,win,0.0,57.0,109.0,0.52,69.0,122.0,3.0,6.0,0.5,0.0,0.0,4.666666666666667,25.0,70.0,5.0,8.0,27.0,31.0,43.0,93.0,13.0,15.0,1.0,1.0
UFC Fight Night: Magny vs Gastelum: Ricardo Lamas v Diego Sanchez,Diego Sanchez,Ricardo Lamas,http://ufcstats.com/fighter-details/82e7929bf6c2b689,loss,0.0,30.0,86.0,0.34,36.0,92.0,1.0,2.0,0.5,0.0,0.0,1.4166666666666667,22.0,75.0,8.0,11.0,0.0,0.0,17.0,70.0,11.0,14.0,2.0,2.0
UFC 193: Rousey vs Holm: Kyle Noke v Peter Sobotta,Kyle Noke,Peter Sobotta,http://ufcstats.com/fighter-details/7339d340aa2889cb,win,1.0,23.0,43.0,0.53,24.0,44.0,0.0,0.0,,0.0,0.0,0.0,13.0,30.0,2.0,4.0,8.0,9.0,11.0,21.0,0.0,0.0,12.0,22.0
UFC 193: Rousey vs Holm: Kyle Noke v Peter Sobotta,Peter Sobotta,Kyle Noke,http://ufcstats.com/fighter-details/1fcfc3709fe58151,loss,0.0,2.0,6.0,0.33,2.0,6.0,0.0,0.0,,0.0,0.0,0.2333333333333333,2.0,5.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
UFC 193: Rousey vs Holm: Stefan Struve v Jared Rosholt,Stefan Struve,Jared Rosholt,http://ufcstats.com/fighter-details/ebc1f40e00e0c481,loss,0.0,33.0,58.0,0.56,34.0,59.0,1.0,1.0,1.0,0.0,0.0,0.3166666666666666,23.0,41.0,7.0,14.0,3.0,3.0,21.0,42.0,1.0,2.0,11.0,14.0
UFC 193: Rousey vs Holm: Stefan Struve v Jared Rosholt,Jared Rosholt,Stefan Struve,http://ufcstats.com/fighter-details/91ea901c458e95dd,win,0.0,16.0,37.0,0.43,38.0,59.0,4.0,7.0,0.57,0.0,0.0,6.716666666666667,6.0,23.0,2.0,5.0,8.0,9.0,11.0,27.0,0.0,1.0,5.0,9.0
UFC 193: Rousey vs Holm: Daniel Kelly v Steve Montgomery,Daniel Kelly,Steve Montgomery,http://ufcstats.com/fighter-details/bdcbb976816fd256,win,0.0,63.0,121.0,0.52,115.0,176.0,5.0,13.0,0.38,0.0,0.0,7.883333333333333,56.0,114.0,5.0,5.0,2.0,2.0,30.0,77.0,10.0,12.0,23.0,32.0
UFC 193: Rousey vs Holm: Daniel Kelly v Steve Montgomery,Steve Montgomery,Daniel Kelly,http://ufcstats.com/fighter-details/6e92eb1242b46636,loss,0.0,77.0,191.0,0.4,89.0,204.0,0.0,0.0,,0.0,0.0,0.0333333333333333,50.0,159.0,24.0,28.0,3.0,4.0,50.0,160.0,25.0,28.0,2.0,3.0
UFC 193: Rousey vs Holm: Ben Nguyen v Ryan Benoit,Ben Nguyen,Ryan Benoit,http://ufcstats.com/fighter-details/840d2c82ea68b9aa,win,0.0,11.0,18.0,0.61,20.0,37.0,0.0,0.0,,2.0,0.0,2.3,8.0,15.0,2.0,2.0,1.0,1.0,5.0,9.0,1.0,1.0,5.0,8.0
UFC 193: Rousey vs Holm: Ben Nguyen v Ryan Benoit,Ryan Benoit,Ben Nguyen,http://ufcstats.com/fighter-details/20999e27ddd94bda,loss,0.0,1.0,6.0,0.16,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
UFC 193: Rousey vs Holm: Richie Vaculik v Danny Martinez,Richie Vaculik,Danny Martinez,http://ufcstats.com/fighter-details/54578e5927adea53,loss,0.0,63.0,156.0,0.4,82.0,176.0,3.0,3.0,1.0,0.0,0.0,0.7333333333333333,42.0,130.0,6.0,11.0,15.0,15.0,54.0,145.0,4.0,6.0,5.0,5.0
UFC 193: Rousey vs Holm: Richie Vaculik v Danny Martinez,Danny Martinez,Richie Vaculik,http://ufcstats.com/fighter-details/8a9c6c4301f6d088,win,0.0,54.0,171.0,0.31,90.0,213.0,9.0,12.0,0.75,0.0,1.0,7.8,38.0,146.0,16.0,25.0,0.0,0.0,41.0,153.0,3.0,3.0,10.0,15.0
UFC 193: Rousey vs Holm: Joanna Jedrzejczyk v Valerie Letourneau,Joanna Jedrzejczyk,Valerie Letourneau,http://ufcstats.com/fighter-details/3d6749c4267da18f,win,0.0,220.0,441.0,0.49,227.0,448.0,0.0,0.0,,0.0,0.0,3.1,97.0,289.0,53.0,67.0,70.0,85.0,203.0,414.0,17.0,27.0,0.0,0.0
